사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020031600100136,2020년 3월 16일 09시,월요일,경상남도 밀양시 가곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,이륜,남,68세,중상
2020031600100342,2020년 3월 16일 16시,월요일,경상남도 밀양시 상남면,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,69세,경상,승용,남,52세,경상
2020031600100460,2020년 3월 16일 19시,월요일,경상남도 밀양시 부북면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,72세,상해없음,농기계,남,59세,경상
2020031800100256,2020년 3월 18일 14시,수요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,여,46세,중상
2020031800100316,2020년 3월 18일 16시,수요일,경상남도 밀양시 내일동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,84세,부상신고,,,,
2020032200100110,2020년 3월 22일 10시,일요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,보행자,남,56세,경상
2020032300100322,2020년 3월 23일 15시,월요일,경상남도 밀양시 내일동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,자전거,남,79세,경상
2020032300100573,2020년 3월 23일 23시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,승용,여,40세,경상
2020032400100051,2020년 3월 24일 06시,화요일,경상남도 밀양시 교동,경상사고,0,0,2,1,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,건설기계,남,52세,부상신고,승용,남,39세,경상
2020032400100066,2020년 3월 24일 07시,화요일,경상남도 밀양시 초동면,중상사고,0,4,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,화물,남,60세,경상
2020032400100327,2020년 3월 24일 15시,화요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,18세,상해없음,화물,남,60세,경상
2020032500100254,2020년 3월 25일 13시,수요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,70세,상해없음,보행자,남,10세,경상
2020032600100295,2020년 3월 26일 16시,목요일,경상남도 밀양시 산내면,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,이륜,남,60세,중상
2020032700100337,2020년 3월 27일 16시,금요일,경상남도 밀양시 가곡동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,54세,상해없음,보행자,여,22세,경상
2020032900100128,2020년 3월 29일 11시,일요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,여,40세,경상
2020040100100170,2020년 4월 1일 11시,수요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,여,54세,상해없음,자전거,남,11세,중상
2020040100100294,2020년 4월 1일 15시,수요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,63세,상해없음,보행자,여,84세,중상
2020040600100134,2020년 4월 6일 09시,월요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,화물,남,50세,경상
2020040600100190,2020년 4월 6일 11시,월요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,61세,상해없음,자전거,남,61세,중상
2020040700100360,2020년 4월 7일 17시,화요일,경상남도 밀양시 내일동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,33세,상해없음,승용,여,62세,경상
2020040800100174,2020년 4월 8일 10시,수요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,기타 - 기타,화물,남,55세,상해없음,보행자,남,24세,중상
2020041100100178,2020년 4월 11일 11시,토요일,경상남도 밀양시 하남읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,화물,남,60세,중상
2020041300100149,2020년 4월 13일 10시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,43세,경상,승용,남,26세,경상
2020041400100320,2020년 4월 14일 15시,화요일,경상남도 밀양시 삼문동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,여,47세,경상
2020041400100493,2020년 4월 14일 19시,화요일,경상남도 밀양시 초동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,여,49세,경상
